rank,feature,split,gain,gain_pct,cumulative_pct
307,V147,108,1116.77,0.02,98.95
308,V327,21,1108.33,0.02,98.97
309,V329,64,1085.11,0.02,98.99
310,V163,100,1068.05,0.02,99.01
311,V80,216,1036.95,0.02,99.03
312,V231,70,1030.57,0.02,99.04
313,V331,70,1021.51,0.02,99.06
314,id_35,29,1002.54,0.02,99.08
315,V176,202,992.42,0.02,99.1
316,V71,58,983.46,0.02,99.12
317,V148,70,982.5,0.02,99.13
318,id_04,135,964.48,0.02,99.15
319,V92,106,960.87,0.02,99.17
320,V121,37,960.73,0.02,99.19
321,V175,76,944.15,0.02,99.2
322,V260,190,928.76,0.02,99.22
323,V98,85,917.42,0.02,99.24
324,V72,67,915.31,0.02,99.25
325,V50,142,909.02,0.02,99.27
326,V161,101,908.34,0.02,99.28
327,V213,179,905.15,0.02,99.3
328,id_10,108,886.22,0.02,99.32
329,V184,130,883.24,0.02,99.33
330,V46,127,876.95,0.02,99.35
331,V103,91,850.31,0.02,99.36
332,V157,88,848.42,0.02,99.38
333,M1,83,848.13,0.02,99.39
334,V253,102,847.56,0.02,99.41
335,V299,68,832.96,0.01,99.42
336,V214,193,825.09,0.01,99.44
337,V146,96,823.85,0.01,99.45
338,V247,111,797.89,0.01,99.47
339,V9,110,793.92,0.01,99.48
340,V211,235,792.57,0.01,99.5
341,V112,71,783.99,0.01,99.51
342,V142,61,741.33,0.01,99.52
343,V125,114,726.01,0.01,99.54
344,V106,129,721.87,0.01,99.55
345,V168,108,670.52,0.01,99.56
346,V330,53,662.83,0.01,99.57
347,V238,121,659.43,0.01,99.58
348,V84,96,654.91,0.01,99.6
349,V101,183,654.84,0.01,99.61
350,V339,59,645.66,0.01,99.62
351,V304,92,634.1,0.01,99.63
352,V111,73,632.89,0.01,99.64
353,V173,51,625.56,0.01,99.65
354,V244,106,620.62,0.01,99.66
355,V334,145,588.98,0.01,99.68
356,V180,78,583.2,0.01,99.69
357,id_16,95,578.53,0.01,99.7
358,V236,91,556.64,0.01,99.71
359,V228,109,548.97,0.01,99.72
360,V230,106,542.52,0.01,99.73
